#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
A,ttf-font-awesome,""
A,ttf-font-icons,""
A,ttf-inconsolata,""
A,ttf-iosevka-nerd,""
A,ttf-joypixels,""
A,ttf-linux-libertine,""
A,ttf-material-design-icons-webfont,""
A,ttf-ms-fonts,""
A,ttf-symbola,""
A,ttf-unifont,""
A,udiskie-systemd-git,""
,usbutils,""
,xorg-font-util,""
,xorg-fonts-100dpi,""
,xorg-fonts-75dpi,""
,xorg-fonts-misc,""
,xorg-xbacklight,""
,xwallpaper,""
A,youtube-dl,""
,zathura,""
,zathura-cb,""
,zathura-djvu,""
,zathura-ps,""
,zip,""
,docker-compose,""
A,tig,"The console git tool"
,texlive-core,"The TeX distribution"
,texlive-bin,"The TeX binary"
